"day_date","matchup","team","opposition","location","off_night","tired","total_games","off_nights","week_info"
2021-10-12,1,ANA,,,,,3,3,
2021-10-12,1,ARI,,,,,3,1,
2021-10-12,1,BOS,,,,,1,0,Least Games
2021-10-12,1,BUF,,,,,2,0,
2021-10-12,1,CAR,,,,,2,0,
2021-10-12,1,CBJ,,,,,2,0,
2021-10-12,1,CGY,,,,,2,1,
2021-10-12,1,CHI,,,,,3,2,
2021-10-12,1,COL,,,,,2,1,
2021-10-12,1,DAL,,,,,3,1,
2021-10-12,1,DET,,,,,2,0,
2021-10-12,1,EDM,,,,,2,1,
2021-10-12,1,FLA,,,,,2,0,
2021-10-12,1,LAK,,,,,2,0,
2021-10-12,1,MIN,,,,,2,1,
2021-10-12,1,MTL,,,,,3,1,
2021-10-12,1,NJD,,,,,1,1,Least Games
2021-10-12,1,NSH,,,,,2,0,
2021-10-12,1,NYI,,,,,2,0,
2021-10-12,1,NYR,,,,,4,2,Most Games
2021-10-12,1,OTT,,,,,3,1,
2021-10-12,1,PHI,,,,,2,2,
2021-10-12,1,PIT,TBL,Away,Y,,3,1,
2021-10-12,1,SEA,VGK,Away,Y,,4,2,Most Games
2021-10-12,1,SJS,,,,,1,0,Least Games
2021-10-12,1,STL,,,,,2,1,
2021-10-12,1,TBL,PIT,Home,Y,,3,1,
2021-10-12,1,TOR,,,,,4,2,Most Games
2021-10-12,1,VAN,,,,,3,2,
2021-10-12,1,VGK,SEA,Home,Y,,2,1,
2021-10-12,1,WPG,,,,,2,1,
2021-10-12,1,WSH,,,,,2,1,
2021-10-13,1,ANA,WPG,Home,Y,,3,3,
2021-10-13,1,ARI,,,,,3,1,
2021-10-13,1,BOS,,,,,1,0,Least Games
2021-10-13,1,BUF,,,,,2,0,
2021-10-13,1,CAR,,,,,2,0,
2021-10-13,1,CBJ,,,,,2,0,
2021-10-13,1,CGY,,,,,2,1,
2021-10-13,1,CHI,COL,Away,Y,,3,2,
2021-10-13,1,COL,CHI,Home,Y,,2,1,
2021-10-13,1,DAL,,,,,3,1,
2021-10-13,1,DET,,,,,2,0,
2021-10-13,1,EDM,VAN,Home,Y,,2,1,
2021-10-13,1,FLA,,,,,2,0,
2021-10-13,1,LAK,,,,,2,0,
2021-10-13,1,MIN,,,,,2,1,
2021-10-13,1,MTL,TOR,Away,Y,,3,1,
2021-10-13,1,NJD,,,,,1,1,Least Games
2021-10-13,1,NSH,,,,,2,0,
2021-10-13,1,NYI,,,,,2,0,
2021-10-13,1,NYR,WSH,Away,Y,,4,2,Most Games
2021-10-13,1,OTT,,,,,3,1,
2021-10-13,1,PHI,,,,,2,2,
2021-10-13,1,PIT,,,,,3,1,
2021-10-13,1,SEA,,,,,4,2,Most Games
2021-10-13,1,SJS,,,,,1,0,Least Games
2021-10-13,1,STL,,,,,2,1,
2021-10-13,1,TBL,,,,,3,1,
2021-10-13,1,TOR,MTL,Home,Y,,4,2,Most Games
2021-10-13,1,VAN,EDM,Away,Y,,3,2,
2021-10-13,1,VGK,,,,,2,1,
2021-10-13,1,WPG,ANA,Away,Y,,2,1,
2021-10-13,1,WSH,NYR,Home,Y,,2,1,
2021-10-14,1,ANA,,,,,3,3,
2021-10-14,1,ARI,CBJ,Away,N,,3,1,
2021-10-14,1,BOS,,,,,1,0,Least Games
2021-10-14,1,BUF,MTL,Home,N,Tired Opposition,2,0,
2021-10-14,1,CAR,NYI,Home,N,,2,0,
2021-10-14,1,CBJ,ARI,Home,N,,2,0,
2021-10-14,1,CGY,,,,,2,1,
2021-10-14,1,CHI,,,,,3,2,
2021-10-14,1,COL,,,,,2,1,
2021-10-14,1,DAL,NYR,Away,N,Tired Opposition,3,1,
2021-10-14,1,DET,TBL,Home,N,,2,0,
2021-10-14,1,EDM,,,,,2,1,
2021-10-14,1,FLA,PIT,Home,N,,2,0,
2021-10-14,1,LAK,VGK,Home,N,,2,0,
2021-10-14,1,MIN,,,,,2,1,
2021-10-14,1,MTL,BUF,Away,N,Tired,3,1,
2021-10-14,1,NJD,,,,,1,1,Least Games
2021-10-14,1,NSH,SEA,Home,N,,2,0,
2021-10-14,1,NYI,CAR,Away,N,,2,0,
2021-10-14,1,NYR,DAL,Home,N,Tired,4,2,Most Games
2021-10-14,1,OTT,TOR,Home,N,Tired Opposition,3,1,
2021-10-14,1,PHI,,,,,2,2,
2021-10-14,1,PIT,FLA,Away,N,,3,1,
2021-10-14,1,SEA,NSH,Away,N,,4,2,Most Games
2021-10-14,1,SJS,,,,,1,0,Least Games
2021-10-14,1,STL,,,,,2,1,
2021-10-14,1,TBL,DET,Away,N,,3,1,
2021-10-14,1,TOR,OTT,Away,N,Tired,4,2,Most Games
2021-10-14,1,VAN,,,,,3,2,
2021-10-14,1,VGK,LAK,Away,N,,2,1,
2021-10-14,1,WPG,,,,,2,1,
2021-10-14,1,WSH,,,,,2,1,
2021-10-15,1,ANA,MIN,Home,Y,,3,3,
2021-10-15,1,ARI,,,,,3,1,
2021-10-15,1,BOS,,,,,1,0,Least Games
2021-10-15,1,BUF,,,,,2,0,
2021-10-15,1,CAR,,,,,2,0,
2021-10-15,1,CBJ,,,,,2,0,
2021-10-15,1,CGY,,,,,2,1,
2021-10-15,1,CHI,NJD,Away,Y,,3,2,
2021-10-15,1,COL,,,,,2,1,
2021-10-15,1,DAL,,,,,3,1,
2021-10-15,1,DET,,,,,2,0,
2021-10-15,1,EDM,,,,,2,1,
2021-10-15,1,FLA,,,,,2,0,
2021-10-15,1,LAK,,,,,2,0,
2021-10-15,1,MIN,ANA,Away,Y,,2,1,
2021-10-15,1,MTL,,,,,3,1,
2021-10-15,1,NJD,CHI,Home,Y,,1,1,Least Games
2021-10-15,1,NSH,,,,,2,0,
2021-10-15,1,NYI,,,,,2,0,
2021-10-15,1,NYR,,,,,4,2,Most Games
2021-10-15,1,OTT,,,,,3,1,
2021-10-15,1,PHI,VAN,Home,Y,,2,2,
2021-10-15,1,PIT,,,,,3,1,
2021-10-15,1,SEA,,,,,4,2,Most Games
2021-10-15,1,SJS,,,,,1,0,Least Games
2021-10-15,1,STL,,,,,2,1,
2021-10-15,1,TBL,,,,,3,1,
